title,text,rating
Đắt đỏ,"Dịch vụ cafe cho gia đình là không phù hợp. Âm nhạc lúc 7-8am không thấy bật. Đồ cắn như hạt dưa hạt bí không có.
Giá cả đồ uống mắc. 50k/ chai lavie...",1
Bữa tối tuyệt vời.,"Quán view đẹp, thức ăn ngon các bạn phục vụ thân thiện, dễ thương. Mình thichd nhất món cơm cuộn king crab của bạn Chi giới thiệu, rất là ngon! Mình chọn không gian trên tầng để riêng tư và có bạn Xuân là người phục vụ mình suốt bữa ăn, rất thân thiện và dễ thương. Mình sẽ quay lại đây!!",3
Hồ Hoàn Kiếm nơi kết nối những trái tim,"Bạn thường tới Hồ Hoàn Kiếm vào thời điểm nào?
Tôi thường tới hồ cùng đám bạn vào buổi tối. khi màn đêm ôm trọn lấy Hồ bạn sẽ cảm nhận hết những vẻ đẹp mà ban ngày khó mà thấy được. Vẻ đẹp lung linh của dãy đèn xung quanh Hồ đánh gục trái tim của bạn ngay lần đầu tới chơi. Tháp Rùa hiện ra uy nghiêm mà đầy thiêng liêng giữa lòng Hồ.
Nếu tới vào cuối tuần bạn sẽ được hòa mình vào dòng người trên phố đi bộ, tham gia các trò chơi dân gian (ô ăn quan, nhảy sạp,..) do các bạn trẻ tổ chức hay chỉ đơn giản lắng nghe những giai điệu ngay trên phố... Có quá nhiều thứ thú vị để bạn khám phá khi tới với Hồ Hoàn Kiếm.
Nếu đã tới với thủ đô Hà Nội, sẽ là điều rất tiếc nuối nếu bạn bỏ qua địa điểm tuyệt vời này.",3
Dinnerr w son,"Very 👍 good . Bò fuji làm rất là vừa miệng
. Cơm rất là ngonn 
Starter bắt miệng
Giá không quá mắc. 
Must try this restaurant ",3
Trải nghiệm kinh hoàng,"Mình đã ăn ở quán này từ lâu, nhưng tuần trước khi đến ăn bánh đa trộn thì gặp một trải nghiệm kinh khủng. Vừa vắt quất và trộn lên, chưa kịp ăn thì phát hiện miếng giò trong bát đã bị ai đó cắn mất một nửa. Cảm ơn ""ai đó"" đã thử hộ mình xem miếng giò có độc hay không. Tạm biệt quán, mình sẽ không bao giờ quay lại nữa!",1
Sao mình mặc được đây,shop đưa nhần size 42 cho em.,2
Quá lạnh,Cảnh tuyệt vời. Ở miền nam khí hậu nóng quen rồi lên đấy lạnh quá !!!! Nên trang bị áo lạnh. Ăn uống trên đấy hơi đắt,3
Phố Cổ Hà Nội,"Mình yêu nơi đây rất nhiều. Bạn có thể dễ dàng tìm nơi quán ăn yêu thích, phố đi bộ và chợ đêm cuối tuần cùng bạn bè và gia đình.",3
đẹp,"biển xanh cát trắng là những gì hội an có nhé mọi người
hãy ghé thăm hội an để thưởng thức ẩm thực, con người và thiên nhiên nơi này nhé",3
Quán 10 điểm,"Quán quá tuyệt vời, 10/10 , ngonnnn , phê nha má , nhân viên toẹt vời thân thiện , tôi iu quán này, anh quản lý toẹt vời lun , không đi là tiếc dữ nha",3
tot,tuyệt vời quá khi di tham quan vui choi giai tri o đay toi kuyeen ban va gia dinh nen den day vao dip cuoi tuan hay dip le,3
Chất liệu áo mỏng,chất áo mỏng so với hình....,2
"Bộ đồ nhàu, mất thẩm mỹ",Mở bịch ra thì bộ đồ nhàu rất mất thẩm mỹ.,1
đồ ăn ngon và giá hợp lí,đồ ăn rất ngon. mình ăn mực ống chiên mắm. bò nướng và nộm xoài. tất cả các món đều ngon suất xắc . phục phụ nhiệt tình . quán sang trọng và sạch sẽ. sẽ ghe qua,3
Vui,"Đây là nơi sôi động và huyên náo bậc nhất Nha Trang vào buổi tối muộn. Nhạc hay, khách Tây rất nhiều và nhân viên phục vụ nhanh nhẹn. Khá thú vị khi tới đây rồi đi dạo bờ biển với bạn bè trước khi về ngủ",3
"Nhà Hát TPHCM mang lối kiến trúc Tây phương, vẫn đang là điểm thu hút đông đảo khách du lịch","Nhà hát Thành phố HCM không chỉ là nơi tổ chức những sự kiện quan trọng, biểu diễn các chương trình văn hóa nghệ thuật, mà còn là một địa điểm điểm tham quan đầy ý nghĩa mang đậm chất văn hóa lịch sử của TpHCM.
Ròng rã suốt hơn 115 năm kể từ ngày hoàn thành đến giờ, Nhà hát Thành phố - một kiến trúc mang phong cách Tây Âu lâu đời, đã được sửa chữa, tu bổ, tôn tạo nhiều lần để có một bộ mặt khởi sắc như ngày nay, trở thành một địa điểm tham quan chính không thể thiếu được cho khách du lịch trong và ngoài nước, của Thành phố HCM.",2
"Chất lượng ổn nhưng bụng áo quá rộng, cần phải sửa lại.","chất lượng ok,mỗi tội bụng rộng quá.lại phải sửa.",2
Giá cả hợp lí giữa trung tâm phố cổ,"Đồ ăn ngon, sạch sẽ và chất lượng, vừa miệng. Phục vụ tốt mà giá cả hợp lí ngày giữa trung tâm phố cổ đắt đỏ. Nhất định sẽ quay lại ủng hộ quán thường xuyên",3
sẽ không quay lại!,"Mình ăn ở đây khá nhiều lần rồi nhưng đây có lẽ là lần cuối cùng bước chân vào. Menu lần này đã ít món hơn những lần trước (ví dụ bò viên ống tre chẳng hạn). Vừa ăn xong nên review luôn cho nóng... Thứ nhất về đồ ăn nhé. Đừng để bị lừa vì mấy đĩa đầu bê ra thấy nhiều nạc mà vui, vì chỉ từ lượt bê ra thứ 3 là thịt toàn mỡ, ăn đến lượt thứ 5 là không muốn gọi tiếp nữa vì nồi sẽ nổi váng mỡ lên như hình. Tạm cho 5,5 điểm. Thứ hai là về khuyến mãi tặng món như trên Foody ghi là không hề có, muốn gọi hỏi nhân viên Foody nhưng không thể liên hệ. Thứ ba là về nhân viên thì cũng tạm ổn, nhưng góp ý về anh bảo vệ là nên nhẹ nhàng với khách thôi chứ không phải ở nhà anh mà muốn làm gì thì làm với xe của khách. Nay cũng may cho anh là xe mình mở được chứ không đợi thêm lúc nữa chắc phải gọi cả quản lý từ cơ sở khác về (đấy là theo như lời bạn nhân viên thì chị quản lý không ở đó vì còn đang ở cơ sở khác nên mình không có gặp được",1
Đáng thử,"Đồ ăn ngon, hợp khẩu vị, giá cả hợp lí, nhân viên nhiệt tình, niềm nở, ân cần, quán sạch sẽ, gọn gàng.",3
rất ngon chắc chắn tôi sẽ quay lại,"đồ ăn ngon, phục vụ nhiệt tình từ nhân viên đến chủ quán, không gian rộng rãi, giá thành hợp lý  có vấn đề sử lý kịp thời sẽ quay lại,",3
Runam,"Không gian đẹp, trang trí sang trọng. Đồ uống bình thường. Phục vụ không được tốt, đồ lên quá chậm và thái độ nhân viên không được thân thiện.",2
Phổ cổ,"Nói đến Hà nội không nhớ tới 36 phố phường, có những con phố mang tên làng nghề như Hàng Đồng, Hàng Thiếc... nhưng trải qua thời gian nhiều con phố không còn kinh doanh và đã đổi ngành nghề phù hợp với cuộc sống hiện đại",3
Highly recommended!,"Đây là lần đầu tiên tớ đi ăn ở một nhà hàng thuộc khách sạn (không phải nhà hàng chuyên biệt) khi không đi du lịch. Yêu cầu là một nhà hàng có view đẹp, đồ ăn ngon để làm một ngày kỷ niệm. Ngồi google và tìm được nhà hàng The Gourmet Corner.

Mọi thứ ở đây đều rất ổn. Từ sự thân thiện, nhiệt tình của bộ phận nhân viên, view xuống phố, cho đến đồ ăn. Nói chung là mọi người nên thử, rất xứng đáng.

Phần ăn gồm 2 soup, 1 salad, 2 phần ăn chính, 2 phần tráng miệng, thêm 2 ly rượu. Mọi thứ đều rất vừa miệng, có điều tớ không quen đồ ăn có sốt kem nên món soup hải sản làm cho đoạn sau hơi kém năng suất. Hoá đơn hết tầm $70.

Tớ cũng đánh giá rất cao sự nhiệt tình của các bạn nhân viên. Đánh giá 5* cho tất cả.",3
Hội An trong tôi...,"Dù đi Hội An nhiều lần rồi vẫn thấy rất đẹp. Hội An mang trong mình một nét rất riêng. Có lẽ đêm ở Hội An là đẹp nhất. Đứng hai bên bờ sông ngắm những chiếc thuyền Rồng sáng đèn, những chiếc hoa đăng lập lờ trôi và phố xá xưa sáng ánh đèn lồng...ta như lạc vào một góc trời nào đó trong phim cổ trang. Sẽ rất nhớ nơi này.",3
Ấm áp,"Không gian quán dễ thương, phù hợp cho mọi người hẹn hò bạn bè, người thân...Thực đơn phong phú, đa dạng",3
Đường lai không đẹp,Nhưng thấy đường lai xấu quá nên....,1
Ăn ngon,Đồ ăn rất rất ngon và phục vụ nhiệt tình. Mình ăn nò nâm nướng và cánh gà chiên mắm. cả món nộm xoài. tất cả đều rất ngon. giá cả khá hợp lí nha.,3
Nghỉ hè Đà Nẵng,"Tôi và gia đình đã có chuyến nghỉ hè thú vị tại Đà nẵng, đã tham quan KDL Sun world Bana hills, dù miên Trung nắng nóng nhưng Bana hills rất mát dễ chịu, khí hậu thay đổi ngay khi bước vô cáp treo và di chuyển, quang cảnh rất đẹp, nhiều hoạt náo vui nhộn ngoài trời, tuy nhiên nhà hàng ăn uống trưa thì chỉ ở mức trung bình có lẽ do đông khách, thức ăn không hấp dẫn, trái cây bầm dập, nhà vệ sinh bẩn và nhếch nhác ngay cạnh gần bàn để thức ăn, thái độ nhân viên phục vụ rất kém so với tiêu chuẩn. Không thấy quản lý giám sát khu vực nhà hàng. Các khu vực trò chơi, tham quan cũng chưa đầy đủ. Mong rằng các hạn chế sẽ được cải thiện.",2
Thủ Đô yêu quý của ta,Bạn hãy dành một ngày mùa thu đi giữa lòng phố cổ với những con phố có tự bao đời nay.Bạn có thể thưởng thức các món ăn đặc biệt gắn bó với các con phố đó.,3
"Chất lượng kém, không đúng mô tả","Sản phẩm không đúng với hình đăng, chất lượng da đểu, quá tồi.",1
Nhét trong thùng bừa bãi,Nhét tùm lum trong môt cái thùng.,1
Good,Mình đến đây khá nhiều lần nhưng lần nào đến cũng tuyệt vời.nhân viên chào hỏi rất lễ phép (còn đẹp trai xinh gái nữa chứ 😗) bánh kem  rất ngon đặc biệt là cái strawberry white roll.còn đến đây ăn nhìu :),3
Phong thủy,"Là 5 ngọn núi phong thủy của Việt Nam! Và Đà Nẵng nói riêng. Kim, mộc, thủy, hỏa, thổ. 
Mỗi ngọn núi có các loại đất da núi khác nhau theo kim mộc thủy hỏa thổ. Rất đặc biệt cho các bạn yêu thích phong thủy. Đặc biệt khi đến ngũ hành sơn, các bạn dc chiêm ngưỡng
 vẻ đẹp hùng vĩ của các ngọn núi xung quanh. Và có thể ngắm dãy trường sơn qua lăng kính. Lên đến và thăm quan toàn tp Đà Nẵng.",3
Chùa cầu Hội an; điểm đặc biệt đầu tiên khi đến Hội an cổ xưa; tuyệt vời,Hoài phố; những kỷ niệm tại đây vẫn còn như xưa khi mình đã sinh ra và lớn lên tại đây .Khi quay lại đây những cảm xúc ; những hình ảnh ngày nào như dâng trào trong kỷ niệm thuở ấy thơ . Hình ảnh vẫn còn đây nhưng thời gian thì trôi theo dòng đời . Nhớ mãi về Hội an . Sẽ còn quay lại .,3
bò nầm nướng rất nhon,"Đồ nướng tươi ngon, cánh gà chiên mắm, cơm rang rất ok, không gian đẹp, nhân viên nhiệt tình, lịch sự 👍🏻",3
Dim sum lunch,"Bữa trưa hấp dẫn tại nhà hàng libai với nhiều món ăn hấp dẫn và đặc sắc.
Những bạn phục vụ rất nhiệt tình, take care khách rất tốt dù nhà hàng hôm nay khá là đông. Đặc biệt là chị Hương Trương. 
Gia đình tôi đã có một bữa ăn tuyệt vời .
",3
Màu sắc nhận được khác xa so với hình chụp trên website.,Màu khác xa hình chụp 😤.,1
Không đáng để mua,"Hàng giả, hàng kém chất lượng 😡.",1
"Cần chú ý khi mặc, rất dễ lộ nội y",Chất siêu mỏng 😕.,2
Amazing ^^,BÀ NÀ Hill - một địa điểm tuyệt vời nằm trên núi . Nơi đây có nhiều cảnh đẹp từ kiến trúc Pháp cho đến quang cảnh thiên nhiên và khí hậu mát mẻ .,3
Chơi game ổn,Xem được.Tay cầm game cũng được .,2
"Đặt qua Foody, món ăn không đúng, hình ảnh không khớp","Đây là suất cơm trắng (gạo lứt) bò sốt tiêu đen trị giá 50k.
Mình bận, nhờ bạn mình đặt nên bạn mình không để lưu ý là gạo lứt, ship đến được suất cơm như trên gồm cơm trắng, rau muống luộc và đúng 6 miếng thịt bò 😕.
Bò còn là kho gừng chứ không phải sốt tiêu đen 🤦‍♀️.
Bây giờ vào Foody mới thấy toàn bình luận chê, đúng là sơ suất khi đặt hàng 😔.
Chưa kể trên ảnh là hộp nhựa đen, khi ship đến lại là hộp xốp 😤.
Mong các bạn khác đọc được bình luận của mình trước khi đặt, đừng để phạm sai lầm như mình ❗.
Mình nghĩ những quán có nhiều bình luận tiêu cực như thế này nên bị hạn chế lên deal chứ.
Foody và Now còn hợp tác với những quán như vậy chỉ có hại cho cả hệ thống thôi ",1
Flash sale ngay sau khi mua,"Cơ mà tôi mua hôm nay, ngày mai shop làm flash sale là sao 😥.",2
Đồ ăn ngon,"Phục vụ tốt niềm nở, đồ ăn ngon, không gian mang đậm phong cách việt nam. Rất đáng thử. Phù hợp đi với gia đình",3
Bánh mì 50k chỉ có trứng và bơ,"Order Now bánh mì trứng, bơ, gà xào nấm hết 50k nhưng không có 1 tí gà xào nấm nào 😡!!!
Không hiểu các bạn làm ăn kiểu gì 😤?",1
Đường đi ok còn lên chả có gì,"Ở đây chẳng có gì để vui chơi cả 🙄, chỉ có đường đi lên đèo khá thú vị 🛣️.
Tôi thích cái cảm giác đi xe máy lên đây thôi ",2
Sẽ quay lại nhiều lần nữa nếu có dịp ra hà nội,"Đồ ăn ngoan giá cả hợp lý , các bạn nhân viên nhiệt tình💓. Không gian quán rộng rãi, sạch sẽ và lịch sự. Rất phù hợp cho gia đình và đoàn thể.",3
villa không như mong đợi,"Tôi nghe các bạn đi trước giới thiệu về Zen rất nhiều 🌟.
Lần này có dịp đi thực tế do bà xã muốn ở đây 👩‍❤️‍👨.
Về cơ sở vật chất, nhân viên rất ok 👍. Cách trung tâm tầm 3 km 🛣️.
Ăn sáng được đánh giá trên trang Agoda và các nơi khác là ngon, nhưng mình và gia đình cảm thấy không vừa miệng lắm 😕.
Sáng thứ 6 thì do lượng khách ít nên gọi món.
Sáng thứ 7 thì buffet. Sang đến sáng chủ nhật buffet mà đồ ăn lại không được ngon như thứ 7 🤷.
Hi vọng Zen sẽ chăm chút món ăn hơn nữa 🙏.",2
Dịch vụ quá tệ,"Nhà hàng tệ! 😡
Dịch vụ rất tệ! 😠
Trải nghiệm rất tệ tại đây! 👎
Không xứng để tới lần sau hoặc giới thiệu ❌.",1
Sản phẩm không như giới thiệu,Sản phẩm không giống như shop giới thiệu 😤.,1
Good bartender,"đồ uống ngon , quán view đẹp , đặc biệt bạn Điệp pha chế  . Friendly staff, nice bar, delicious drinks",3
Nhà hàng Hóa Libai,Không gian nhà hàng đẹp. NV phục vụ nhiệt tình. Tư vấn gia đình mình tận tình. Cảm ơn các bạn nhiều. Bà mẹ mình rất thích,3
Đường lên tiên cảnh !,"Đúng như cái tên tiêu đề,phong cảnh nơi đây thật tuyệt.Bạn sẽ được hòa minh vào thiên nhiên,với nhiều khách sạn và dịch vụ sang trọng chắc hẳn tất cả những ai đã đặt chân có một ấn tượng riêng biệt đáng nhớ.Giữa không gian đó một tượng phật lớn được đặt ở đây giống như mình được bước vào tiên cảnh.Hãy đến nơi đây và trải nghiệm cảm giác đó.",3
dao choi,"Pho co la noi noi tieng voi khu pho am thuc, khu pho di bo va buoi toi...Tai day co rat nhieu hoat dong giai tri vo cung thu vi. Dac biet la noi day noi tieng co nhieu khach du lich nuoc ngoai, voi cac ban dang hoc ngoai ngu thi noi day la mot noi ly tuong de du lich va thuc hanh ngoai ngu mien phi hiiii",3
9h tối có diễu binh đổi gác,"Buổi tối gió mát, đèn cao áp sáng rực. Đến giờ đổi gác, nhạc nổi lên khoảng 10p, tốp lính gác đi đều thẳng tắp, trang nghiêm trong tiếng nhạc hùng tráng và đám đông dân chúng vây quanh.",3
Very good,"Bảo tàng chứng tích chiến tranh 1 trong những bảo tàng nên ghé, gần Dinh Độc Lập có thể  kết hợp đi chung trong 1 ngày, rất nhiều thông tin,hình ảnh, và máy bay, xe tăng trong cuộc chiến ",3
Rất hài lòng,"Chị Anna Hoang đã phục vụ bọn em rất nhiệt tình và đồ ăn rất ngon ạ. Không giân rất ấm cúng, view  nhìn ra hồ rất đẹp. Cả hai bọn em rất hài lòng về bữa tối nay ạ",3
Quán ngon. Chủ thân thiện,"Quán rất ngon và sạch, nhân viên lịch sự và thân thiện,mình đi 3 người gọi phần 3 người  bò, nầm, má heo, nộm xoài chân gà rut xuơng.  Đồ ăn tuơi, giá cả hợp lý. Lần sau sẽ quay lại và gthiệu bạn bè ghé. ",3
Yoyo,"Rất tuyệt mn ạ , nhân viên dễ thương, thức ăn siêu ngon ( gà , taco,..) giá cả hợp lí , không gian ấn tượng, sẽ quay lại một ngày ko xaaa",3
quá thất vọng về món ăn,"Mình đi 2 người gọi cơm gà BBQ và cơm dẻ sườn bò nướng, xin nhắc lại là DẺ SƯỜN BÒ NƯỚNG. 

Ra món thì như như thịt xào độn với hành tây vân vân...",1
Ăn tối,"Nhân viên nhiệt tình, nhạc hay, quán có không gian tốt, view đẹp, được trang trí đẹp mắt, tốc độ ra món nhanh, món ăn ngon hợp khẩu vị...",3
"Đặt hàng không đúng, thiếu sót, dịch vụ kém","Do mình không chịu đọc đánh giá trước mà order về thất vọng kinh khủng.
50k cho suất bún ốc to và sườn như ảnh dưới kia. Đã thế lại còn thiếu 1 suất nữa, chán thực sự.
Nước thì cũng bình thường, không có gì xuất sắc. Được cái cho nhiều rau. Nói chung là không bao giờ gọi về nữa đâu",1
Tuyệt vời,"Đồ ăn ngon, trình bày đẹp mắt.
Giá hơi đắt so với các nhà hàng Việt Nam khác nhưng so sánh về chất lượng phục vụ, địa điểm và không gian thì chấp nhận được.
Nhân viên nhanh nhẹn, phục vụ chuyên nghiệp. 
Đồ ăn lên hơi chậm. 
Nếu không đặt chỗ trước thì hầu như rất khó có chỗ ngồi ngoài trời ngắm hồ Hoàn Kiếm.
Quán mở từ trưa đến tối tầm 22h. Không nghỉ chiều nên nếu tầm 3-4h đến vẫn được.
Phù hợp cho tiếp khách, hẹn hò cần sự lịch sự, sang trọng và không gian đẹp.",3
"Đặt cơm sườn thêm nhưng nhận hàng thiếu, thất vọng toàn tập","Mình đặt cơm thường xuyên ở quán. Nhưng hôm nay mình đặt 2 phần: 1 phần cơm sườn nướng + 1 phần sườn thêm. Đến khi nhận hàng thì không thấy phần sườn thêm đâu, trong khi đã thanh toán đầy đủ trên Airpay. Thất vọng toàn tập.",1
"Áo nhỏ, ngắn, shop không trả lời",Áo nhỏ mà ngắn lắm nhắn tin cho shop shop không trả lời,2
Hải lòng với các review 5 sao,"Đọc rất nhiều review tốt về nhà hàng nên mình quyết định đến thử và không hê thấy vọng. Đồ ăn rất ngon và sạch sẽ, nhà hàng sang trọng, dịch vụ tốt mà giá hợp lý. Sẽ giới thiệu bạn bè.",3
Đậm đà hương vị Quang đông,"Món ăn ngon rất đặc sắc và rất ngon. Trang trí tỉ mỉ, cầu kì, đẹp mắt. Nhan viên rất chuyen nghiệp..",3
Đóng gói cực kỳ kém,Đóng gói sản phẩm kém 😡. Đóng gói sản phẩm rất kém 😤. (x10),1
Phong cách quán rất tây nhưng giá rất Việt,"Phong cách quán rất tây nhưng giá rất Việt nha mọi người, ngồi trong quán bạn có thể view được phố đi bộ, đặc biệt quán rất nhiều khách Âu, mọi người nên order trước khi đến để không bị hết chỗ khi đến nơi nhé, vì quán hơi nhỏ.",3
Địa điểm nên đến SG,Là một nơi nên đến khi tham quan Sài Gòn 🌆. Những chứng tích lịch sử còn lại được bảo quản nguyên vẹn theo thời gian rất tốt. Good! 👍,3
Đi chơi buổi tối,"Buổi tối ra phố đi bộ Nguyễn Huệ 🛤️, hòa mình vào dòng người vui chơi, thấy con người, thành phố thật thanh bình và hạnh phúc 🌟.",3
"Chất lượng vải kém, chưa mặc đã bung","Chất vải và đường may quá kém 😠, chưa mặc đã bung hết ra 🤦‍♀️.",1
Quá chật so với size shop tư vấn cho tôi,Mới mặc thử đã bị bung chỉ 😤.,1
Sau cơm mưa trời lại tạnh,Đồ uống rất ngon nhé các bạn. View thì siêu đẹp nhìn ra hồ Gươm. Bạn nhân viên Hải Nam phục vụ nhiệt tình.,3
"Cơm sượng, thịt khô, bì nhão","50k/suất như mèo mửa 😤.
Cơm thì chưa chín, sượng trân 🍚. Thịt nhạt toẹt, khô khốc 😩.
Xem đống bì nhão nhoét, không hiểu làm gì luôn??? 🤷
Không hiểu mình đang ăn cái gì 🤔.",1
Trên mức trung bình,"Yên tĩnh, vị trí tốt, sạch sẽ",2
Hơi thất vọng về chất lượng món ăn,"Mình cảm thấy hơi thất vọng vì món ăn quá ít trứng, nước sốt lại cho quá nhiều để che đi phần giăm bông ít ỏi 🍳.
Đặc biệt, lớp nước sốt có vị chua không hợp khẩu vị 😕.
Quán cần cải thiện để làm hài lòng khách hàng hơn 🙏.",1
ổn,"Món ăn bình thường 😐, dịch vụ tốt 👍.
Đa dạng món, không gian rộng 🏢. Khách rất đông nên đặt bàn trước khi đến.",3
TỆ,"Đúng nghĩa tiền nào của nấy 💰.
Bỏ tiền ra thấy xứng đáng 🤑",1
công viên tuyết đẹp,"công viên có nhiều trò chơi thú vị, tuy nhiên các trò chơi kích thích thật sự thì chỉ có 4 5 trò, công viên nên có thêm nhiều trò chơi mạo hiểm hơn. Ngoài ra, nếu có thêm công viên nước trong asian park thì sẽ rất tuyệt vời",3
Tuyệt vời,"Hôm nay tôi đến nhà hàng libai ăn bữa tiệc sinh nhật , cô nhân viên Trang và Tiên  , dọn bàn thật chu đáo và nhiệt tình",3
Bảo tàng chứng tích chiến tranh,Tôi rất là buồn khi nhìn thấy những tội ác mà  người lính mỹ đã đối xử rất tàn bạo đối với nhân dân của chúng tôi,3
Đã thanh toán,Mình thanh toán tiền cho shop này .,2
Địa điểm tuyệt vời của kho tàng lịch sử Việt Nam,"Bác Hồ- vị Cha già kính yêu của dân tộc Việt Nam. Lăng viếng Bác là nơi các người con của đất nước hướng con tim về, còn là nơi các du khách khắp năm châu chọn là địa điểm thăm quan tuyệt vời khi muốn tìm hiểu về lịch sử Việt Nam, về con người Việt Nam kiên cường, bất khuất...",3
đẹp và nghiêm trang,xếp hàng rất dài nên nếu muốn đi thì đi sớm 1 chút. mặc quần áo dài tay thì mới được vào thăm bác...,3
Night at terraco,"Đồ uống ngon, nhân viên nhiệt tình, đặc biệt là bạn trang thu ngân chụp ảnh rất đẹp, tư vấn rất nhiệt tinhd",3
"Sữa chua trân châu chất lượng kém, thất vọng hoàn toàn","Lần đầu tiên phải viết feedbanh chịk vì quá chán về chất lượng của cửa hàng này. 😡
Chưa bao giờ order sữa chua trân châu lại thất vọng như khi mua ở đây. Order 5 cốc sữa chua, nhưng chắc chỉ được 3 thìa sữa chua, chảy nước 😤.
Mặc dù từ chỗ tôi đến cửa hàng chỉ có 2 cây số và tài xế đi cũng rất nhanh, bình thường tôi order ở xa hơn cũng không bao giờ nhận được cốc sữa chua toàn nước như thế này 😕.
Cốc sữa chua 35k mà chỉ có 3 thìa sữa chua là làm ăn kiểu gì vậy???",1
Bữa tối gia đình,"Không gian ấm cúng, thích hợp các bữa có gia đình. Gia đình tôi cảm thấy rất thoải mái khi đến đây, các món ăn đa dạng và hợp khẩu vị.",3
"Nước canh nhạt nhẽo, không khác gì mì gói","Chán cực 😒, chả khác gì mua gói mì về tự úp 🍜.
Nước canh quá bình thường còn lợ lợ ngọt giả tạo 🤢.
Thà úp mì đổ gói sốt vào còn ngon hơn 😤. Quá thất vọng khi order món này.",1
Thức  an ngon,"Cảm ơn bạn phục vụ Hồng Đào, Hiền 😄.
Phục vụ vui vẻ, nhiệt tình, nhanh nhẹn 💪.
Món ăn ngon, dimsum đa dạng, nhiều món lạ miệng và bắt mắt ",3
Mùa thu,"Hồ Gươm mùa thu đẹp tuyệt vời 🌅, nhất là buổi sáng sớm và lúc chiều tối khi thời tiết mát mẻ 🍂.
Thảo nào bao con người say mê với mùa thu Hà Nội ❤️.",3
Bữa tối tuyệt vời với món bò nướng siêu ngon,"Mình đọc nhiều review về quán và hôm nay quyết định đến ăn thử 📖.
Quán sạch sẽ, lịch sự như nhà hàng Âu 🏨.
Nhân viên chuyên nghiệp, nhiệt tình và rất thân thiện 😊.
Bò nầm nướng ở đây cực ngon. Các bạn nên thử 🥩.",3
Good,"Phục vụ và món ăn tuyệt vời. Các món vịt ở đậy đặc biệt hơn cả. Tôi thích món vịt sốt me, nem vịt,....",3
Khóa kéo khó sử dụng,Khóa hơi khó kéo nha shop 😕.,1
Trải nghiệm tuyệt vời,"Phong cảnh rất đẹp, các mặt hàng đồ đá đẹp và phong phú,một nơi thư giản tốt đối với những người thích sự yên tĩnh và thiên nhiên",3
Beautiful place,"Tôi thích những kiến trúc hiện đại ở nơi đây cùng những trò chơi thú vị pha chút mạo hiểm 🎢.
Thật tuyệt vời 🥳.",3
Đẹp,Tới rồi. Quê hương là chùm khế ngọt cho con trèo hái mỗi ngày là lá la la. Đẹp nhứt việt nam đà nẽng luôn đó mấy bạn !,3
Trải nghiệm không như mong đợi,"Quán ở tận trên tầng 5 🏢, nhân viên ít 🤔.
Không gian hơi nhỏ, đồ ăn không ngon cho lắm 🍴.
Bánh thì mềm, không giòn. Sữa chua thạch cũng không ngon 😑.
Nói chung là mình không thích ăn ở đây cho lắm.",1
Yên bình như tìm về ký ức tuổi thơ,"Nếu bạn không có thời gian để lưu trú lại Hội An qua đêm thì nên đến Hội An vào khoảng 16 giờ 30 chiều để cảm nhận thả hồn trên các tuyến phố đi bộ Trần Phú, Bạch Đằng, rồi cảm nhận những ánh đèn lồng hoàng hôn xuống. Tối đến sẽ có dịp ngắm dòng sông Hoài lung linh, thơ mộng. ",3
Đánh giá phố cổ hà nội,Đây là một địa điểm tham quan rất đẹp. Các bạn có thể đi vào các ngày cuối tuần. Thưởng thức các món ăn non. Mua sắm tại đây,3
Không lắp được chân gương,"Mình không lắp được vào chân gương 😅.
Mình xài xe Sirius.",2
Không hài lòng,Không ưng lắm.😐,1
Không quá tệ.,Chất lượng tạm được.😐😐😐,2
"không giang mở, nhạc cũng khá hay","không gian rộng, khách tây nhiều, thức uống giá cũng hợp lý, và mở cửa tới 2h sáng, chơi nhạc dạng bar tây nên ko có quá ồn ào, và cũng khá là bình bình chứ ko có quá xung như các quán bar khác ở nha trang",2
Ngày nghỉ lễ cùng gia đình,"Rooftop bar không gian thoáng mát, đến lúc hoàng hôn rất đẹp, staff rất dễ thương, hôm mình đến có chị Hiền phục vụ nhiệt tình và vui vẻ. chắc chắn sẽ đến lại nhiều lần nữa.",3
Đáng để thử,"Giá thành khá cao nhưng đồ ăn tươi và ổn, nhân viên cũng nhiệt tình, có thể xin thêm sauce rau và cơm. Quán hơi nhỏ và giờ trưa đông nhưng cũng không có gì đáng lo ngại",3
Bờ hồ đẹp,Đây là bờ hồ nổi tiếng nhất Việt Nam gắn liền trong lịch sử và cả hiện tại. Hoạt động văn hóa gắn với du lịch chưa được triển khai nhiều cần tạo thêm sự hấp dẫn cho du khách,3
Sụn ức gà chiên mắm rất ngon,"Đồ ăn tươi, ngon. Sụn ức gà chiên mắm đỉnh của chop. Bò nướng tươi và rất ngon. Nv nhiệt tình, quán sạch sẽ.   ",3
Quán siêu ngonnn nhân viên phục vụ nhiệt tình đồ ăn ra nhanh chủ quán siêu dễ tính đáng để thử tuyệt vời,Quán siêu ngonnn nhân viên phục vụ nhiệt tình đồ ăn ra nhanh chủ quán siêu dễ tính đáng để thử tuyệt vời,3
